"title","description","identifier","source","creator","date","collection_id","collection_title","series_id","series_title","tags","rights","rights_holder","publisher","format","type","filename","file_url","thumbnail","language","file_ext","featured","sort_field","by","mby","modified","created","id"
"Susheel's father\, a BJP leader\, writes a letter on the \"anti-national\" activities in University of Hyderabad to Minister of State Dattatreya","Susheel's father\, a BJP leader\, writes a letter on the \"anti-national\" activities in University of Hyderabad to Minister of State Dattatreya","150810HCUSM0001","University of Hyderabad","Nandanam Diwakar","2015-10-08","HCU","HCU Student Movement","SM002","Student Movements","","Public Domain","Public Domain","Merian-Tagore International Centre of Advanced Studies","pdf","Scanned Manuscript","150810HCUSM0001","http://campuscollection.openrun.net/samim/HCU/Students movements --- HCU Documents/HCU Scanned and Digitized documents/150810HCUSM0001.pdf","http://campuscollection.openrun.net/Thumbnails/150810HCUSM0001.pdf.jpg","English","pdf","pdf","2015-10-08","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561296367,1561296367,"5d0f7def36623600270003b2"
"Continuous letters from Mr. Dattatreya to MHRD against the Ambedkar Students Association and \"anti-national\" activities in University of Hyderabad","Continuous letters from Mr. Dattatreya to MHRD against the Ambedkar Students Association and \"anti-national\" activities in University of Hyderabad","150817HCUSM0001","University of Hyderabad","Bandaru Dattatreya","2015-08-17","HCU","HCU Student Movement","SM002","Student Movements","","Public Domain","Public Domain","Merian-Tagore International Centre of Advanced Studies","pdf","Scanned Manuscript","150817HCUSM0001","http://campuscollection.openrun.net/samim/HCU/Students movements --- HCU Documents/HCU Scanned and Digitized documents/150817HCUSM0001.pdf","http://campuscollection.openrun.net/Thumbnails/150817HCUSM0001.pdf.jpg","English","pdf","pdf","2015-08-17","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561296367,1561296367,"5d0f7def3662360027000251"
"Counter-Affidavit filed by commissioner C.V Anand\, IPS\, on 3rd October 2015\, against the complaint filed by Susheel's parents","Counter-Affidavit filed by commissioner C.V Anand\, IPS\, on 3rd October 2015\, against the complaint filed by Susheel's parents","151003HCUSM0001","University of Hyderabad","High Court of Andhra Pradesh","2015-03-10","HCU","HCU Student Movement","SM002","Student Movements","","Public Domain","Public Domain","Merian-Tagore International Centre of Advanced Studies","pdf","Scanned Manuscript","151003HCUSM0001","http://campuscollection.openrun.net/samim/HCU/Students movements --- HCU Documents/HCU Scanned and Digitized documents/151003HCUSM0001.pdf","http://campuscollection.openrun.net/Thumbnails/151003HCUSM0001.pdf.jpg","English","pdf","pdf","2015-03-10","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561296367,1561296367,"5d0f7def36623600270003b0"
"Counter-Affidavit (2nd) filed by Murugesh Kumar Singh\, IPS\, on 31 October 2015","Counter-Affidavit (2nd) filed by Murugesh Kumar Singh\, IPS\, on 31 October 2015","151031HCUSM0001","University of Hyderabad","High Court of Andhra Pradesh","2015-10-31","HCU","HCU Student Movement","SM002","Student Movements","","Public Domain","Public Domain","Merian-Tagore International Centre of Advanced Studies","pdf","Scanned Manuscript","151031HCUSM0001","http://campuscollection.openrun.net/samim/HCU/Students movements --- HCU Documents/HCU Scanned and Digitized documents/151031HCUSM0001.pdf","http://campuscollection.openrun.net/Thumbnails/151031HCUSM0001.pdf.jpg","English","pdf","pdf","2015-10-31","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561296367,1561296367,"5d0f7def3662360027000239"
"Rohith Vemula's letter to the police commissioner pleading against the charges on 5th November 2015","Rohith Vemula's letter to the police commissioner pleading against the charges on 5th November 2015","151105HCUSM0001","University of Hyderabad","Rohith Vemula","2015-05-11","HCU","HCU Student Movement","SM002","Student Movements","","Public Domain","Public Domain","Merian-Tagore International Centre of Advanced Studies","docx","Scanned Manuscript","151105HCUSM0001","http://campuscollection.openrun.net/samim/HCU/Students movements --- HCU Documents/HCU Scanned and Digitized documents/151105HCUSM0001.pdf","http://campuscollection.openrun.net/Thumbnails/151105HCUSM0001.pdf.jpg","English","pdf","docx","2015-05-11","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561296367,1561296367,"5d0f7def36623600270003d7"
"Democratic Teachers' Association\, University of Hyderabad\, note against the social boycott order of 5 Dalit scholars","Democratic Teachers' Association\, University of Hyderabad\, note against the social boycott order of 5 Dalit scholars","151216HCUSM0001","Democratic Teachers' Association\, University of Hyderabad","Democratic Teachers' Association\, University of Hyderabad","2015-12-16","HCU","HCU Student Movement","SM002","Student Movements","","Public Domain","Public Domain","Merian-Tagore International Centre of Advanced Studies","pdf","Scanned Manuscript","151216HCUSM0001","http://campuscollection.openrun.net/samim/HCU/Students movements --- HCU Documents/HCU Scanned and Digitized documents/151216HCUSM0001.pdf","http://campuscollection.openrun.net/Thumbnails/151216HCUSM0001.pdf.jpg","English","pdf","pdf","2015-12-16","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561296367,1561296367,"5d0f7def36623600270000c7"
"Executive Committee's documents that upheld the suspension and social boycott order from( 5 August 2015 to 16th December 2015)","Doc 1. Suspension order 16 December 2015 (1-2)\nDoc 2. Incident report 5 August 2015 (3)\nDoc 3. Proctoral Board report 12 August 2015 (5)\nDoc 4. Proctoral Board order 12 August 2015 (6-8)\nDoc 5. Chief Proctor's report 31 August 2015 (9-10)\nDoc 6. Registrar's suspension order (11)\nDoc 7. ASA gen secretary appeals against the suspension order 10 September 2015 (13)\nDoc 8. Revocation of suspension and constitution of a new committee 11 sep 2015 (15)\nDoc 9. Records of proceedings --- from VCs office (17-22)\nDoc 10. Subcommittee of executive council concurs with the findings of the proctoral board and upholds the suspension order 23-24 November 2015 (22)","151216HCUSM0002","University of Hyderabad","","2015-12-16","HCU","HCU Student Movement","SM002","Student Movements","","Public Domain","Public Domain","Merian-Tagore International Centre of Advanced Studies","docx","Scanned Manuscript","151216HCUSM0002","http://campuscollection.openrun.net/samim/HCU/Students movements --- HCU Documents/HCU Scanned and Digitized documents/151216HCUSM0002.pdf","http://campuscollection.openrun.net/Thumbnails/151216HCUSM0002.pdf.jpg","English","pdf","docx","2015-12-16","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561296367,1561296367,"5d0f7def366236002700039e"
"Rohith Vemula's letter to VC\, University of Hyderabad\, on 18th December 2015 ","Rohith Vemula's letter to VC\, University of Hyderabad\, on 18th December 2015 pg 1","151218HCUSM0017","University of Hyderabad","Rohith Vemula","2018-12-15","HCU","HCU Student Movement","SM002","Student Movements","","Public Domain","Public Domain","Merian-Tagore International Centre of Advanced Studies","docx","Scanned Manuscript","151218HCUSM0017","","","English","","docx","2018-12-15","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561296367,1561296367,"5d0f7def36623600270000d8"
"Rohith Vemula's final letter on 17 January 2016","Rohith Vemula's final letter on 17 January 2016","160117HCUSM0001","University of Hyderabad","Rohith Vemula","2016-01-17","HCU","HCU Student Movement","SM002","Student Movements","","Public Domain","Public Domain","Merian-Tagore International Centre of Advanced Studies","","Scanned Manuscript","160117HCUSM0001","http://campuscollection.openrun.net/samim/HCU/Students movements --- HCU Documents/HCU Scanned and Digitized documents/160117HCUSM0001.pdf","http://campuscollection.openrun.net/Thumbnails/160117HCUSM0001.pdf.jpg","English","pdf","","2016-01-17","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561296367,1561296367,"5d0f7def366236002700019a"
"Copy of the FIR filed against the VC and others on 18 January 2016","Prevention of SC/ST atrocity case filed by Dontha Prashanth at Gachibowli police station on 18 Jan 2016","160118HCUSM0001","University of Hyderabad","","2016-01-18","HCU","HCU Student Movement","SM002","Student Movements","","Public Domain","Public Domain","Merian-Tagore International Centre of Advanced Studies","pdf","Scanned Manuscript","160118HCUSM0001","http://campuscollection.openrun.net/samim/HCU/Students movements --- HCU Documents/HCU Scanned and Digitized documents/160118HCUSM0001.pdf","http://campuscollection.openrun.net/Thumbnails/160118HCUSM0001.pdf.jpg","English","pdf","pdf","2016-01-18","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561296367,1561296367,"5d0f7def36623600270002d8"
"People's Union for Democratic Rights\, Delhi\, press release on 18 January 2016","People's union for democratic rights\, Delhi\, press release on 18 jan 2016","160118HCUSM0002","University of Hyderabad","People's Union for Democratic Rights","2016-01-18","HCU","HCU Student Movement","SM002","Student Movements","","Public Domain","Public Domain","Merian-Tagore International Centre of Advanced Studies","docx","Scanned Manuscript","160118HCUSM0002","http://campuscollection.openrun.net/samim/HCU/Students movements --- HCU Documents/HCU Scanned and Digitized documents/160118HCUSM0002.pdf","http://campuscollection.openrun.net/Thumbnails/160118HCUSM0002.pdf.jpg","English","pdf","docx","2016-01-18","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561296367,1561296367,"5d0f7def366236002c0000dc"
"University of Hyderabad SC/ST Employees Welfare Association press release on 18 January 2016","University of Hyderabad SC/ST employees welfare press release on 18 jan 2016","160118HCUSM0003","University of Hyderabad","University of Hyderabad SC/ST Employees Welfare Association","2016-01-18","HCU","HCU Student Movement","SM002","Student Movements","","Public Domain","Public Domain","Merian-Tagore International Centre of Advanced Studies","docx","Scanned Manuscript","160118HCUSM0003","http://campuscollection.openrun.net/samim/HCU/Students movements --- HCU Documents/HCU Scanned and Digitized documents/160118HCUSM0003.JPG","http://campuscollection.openrun.net/Thumbnails/160118HCUSM0003.JPG.jpg","English","JPG","docx","2016-01-18","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561296367,1561296367,"5d0f7def366236002c0002cd"
"Civil Liberties Committee (Telangana)  fact finding report on 18 January 2016","Telangana civil liberties group fact finding report on 18 jan 2016","160118HCUSM0004","University of Hyderabad","Civil Liberties Committee -Telangana","2016-01-18","HCU","HCU Student Movement","SM002","Student Movements","","Public Domain","Public Domain","Merian-Tagore International Centre of Advanced Studies","pdf","Scanned Manuscript","160118HCUSM0004","http://campuscollection.openrun.net/samim/HCU/Students movements --- HCU Documents/HCU Scanned and Digitized documents/160118HCUSM0004.pdf","http://campuscollection.openrun.net/Thumbnails/160118HCUSM0004.pdf.jpg","English","pdf","pdf","2016-01-18","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561296367,1561296367,"5d0f7def366236002c0001ad"
"Joint Action Committee - University of Hyderabad (Joint Action Committee for Social Justice) - Press Release  on 20 January 2016","Joint Action Committee - University of Hyderabad (Joint Action Committee for Social Justice) - press release pg 1 on 20 jan 2016","160120HCUDT0001","Joint Action Committee for Social Justice (University of Hyderabad)","Joint Action Committee for Social Justice (University of Hyderabad)","2016-01-20","HCU","HCU Student Movement","SM002","Student Movements","","Public Domain","Public Domain","Merian-Tagore International Centre of Advanced Studies","","Born Digital Text","160120HCUDT0001","http://campuscollection.openrun.net/samim/HCU/Students movements --- HCU Documents/HCU Scanned and Digitized documents/160120HCUDT0001.pdf","http://campuscollection.openrun.net/Thumbnails/160120HCUDT0001.pdf.jpg","English","pdf","","2016-01-20","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561296367,1561296367,"5d0f7def366236002c0000c6"
"University of Hyderabad SC/ST Teachers' and Officers' Forum press release on 20 January 2016","University of Hyderabad SC/ST Faculty forum press release on 20 jan 2016","160120HCUDT0002","University of Hyderabad","University of Hyderabad SC/ST Teachers' and Officers' Forum","2016-01-20","HCU","HCU Student Movement","SM002","Student Movements","","Public Domain","Public Domain","Merian-Tagore International Centre of Advanced Studies","docx","Born Digital Text","160120HCUDT0002","http://campuscollection.openrun.net/samim/HCU/Students movements --- HCU Documents/HCU Scanned and Digitized documents/160120HCUDT0002.pdf","http://campuscollection.openrun.net/Thumbnails/160120HCUDT0002.pdf.jpg","English","pdf","docx","2016-01-20","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561296367,1561296367,"5d0f7def366236002c000367"
"Dr. Seema\, MP\, writes to the President of India on 20 Jan 2016","Dr. Seema\, MP\, writes to the President of India on 20 Jan 2016","160120HCUSM0003","University of Hyderabad","Dr. T.N. Seema","2016-01-20","HCU","HCU Student Movement","SM002","Student Movements","","Public Domain","Public Domain","Merian-Tagore International Centre of Advanced Studies","pdf","Scanned Manuscript","160120HCUSM0003","http://campuscollection.openrun.net/samim/HCU/Students movements --- HCU Documents/HCU Scanned and Digitized documents/160120HCUSM0003.pdf","http://campuscollection.openrun.net/Thumbnails/160120HCUSM0003.pdf.jpg","English","pdf","pdf","2016-01-20","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561296367,1561296367,"5d0f7def366236002c00027e"
"University of Hyderabad SC/ST Teachers' and Officers' Forum responds to Union Minister Smriti Irani","University of Hyderabad SC/ST employees forum responds to the false claims of Union minister Smriti Irani","160120HCUSM0004","University of Hyderabad","University of Hyderabad Teachers Association","2016-01-20","HCU","HCU Student Movement","SM002","Student Movements","","Public Domain","Public Domain","Merian-Tagore International Centre of Advanced Studies","docx","Scanned Manuscript","160120HCUSM0004","http://campuscollection.openrun.net/samim/HCU/Students movements --- HCU Documents/HCU Scanned and Digitized documents/160120HCUSM0004.pdf","http://campuscollection.openrun.net/Thumbnails/160120HCUSM0004.pdf.jpg","English","pdf","docx","2016-01-20","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561296367,1561296367,"5d0f7def366236002c0001b5"
"Minutes of the emergency University of Hyderabad Teachers Association (UHTA) meeting on 20 jan 2016","Minutes of the emergency University of Hyderabad Teachers Association (UHTA) meeting on 20 jan 2016","160120HCUSM0005","University of Hyderabad","","2016-01-16","HCU","HCU Student Movement","SM002","Student Movements","","Public Domain","Public Domain","Merian-Tagore International Centre of Advanced Studies","pdf","Scanned Manuscript","160120HCUSM0005","http://campuscollection.openrun.net/samim/HCU/Students movements --- HCU Documents/HCU Scanned and Digitized documents/160120HCUSM0005.pdf","http://campuscollection.openrun.net/Thumbnails/160120HCUSM0005.pdf.jpg","English","pdf","pdf","2016-01-16","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561296367,1561296367,"5d0f7def366236002c0002ca"
"Press Release by Joint Action Committee for Social Justice on 21 January 2016","Joint Action Committee for Social Justice Press Release on 21 jan 2016","160121HCUDT0001","Joint Action Committee for Social Justice (University of Hyderabad)","Joint Action Committee for Social Justice (University of Hyderabad)","2016-01-21","HCU","HCU Student Movement","SM002","Student Movements","","Public Domain","Public Domain","Merian-Tagore International Centre of Advanced Studies","pdf","Born Digital Text","160121HCUDT0001","","","English","","pdf","2016-01-21","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561296367,1561296367,"5d0f7def366236002c00015b"
"Press Release by Joint Action Committee for Social Justice 23 January 2016","Joint Action Committee for Social Justice Press Release on 23 jan 2016","160123HCUDI0001","Joint Action Committee for Social Justice (University of Hyderabad)","Joint Action Committee for Social Justice (University of Hyderabad)","2016-01-23","HCU","HCU Student Movement","SM002","Student Movements","","Public Domain","Public Domain","Merian-Tagore International Centre of Advanced Studies","pdf","Digital Image","160123HCUDI0001","","","English","","pdf","2016-01-23","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561296367,1561296367,"5d0f7def366236002c000133"
"Ms. Radhika Vemula\, Rohith's mother\, releases press statement on 23 January 2016","Press statement by the Vemulas","160123HCUSM0002","University of Hyderabad","Radhika Vemula","2016-01-21","HCU","HCU Student Movement","SM002","Student Movements","","Public Domain","Public Domain","Merian-Tagore International Centre of Advanced Studies","pdf","Scanned Manuscript","160123HCUSM0002","http://campuscollection.openrun.net/samim/HCU/Students movements --- HCU Documents/HCU Scanned and Digitized documents/160123HCUSM0002.pdf","http://campuscollection.openrun.net/Thumbnails/160123HCUSM0002.pdf.jpg","English","pdf","pdf","2016-01-21","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561296367,1561296367,"5d0f7def366236002c0000ef"
"Joint Action Committee for Social Justice's response to the Vice Chancellor Prof. Appa Rao's statements to The Hindu on 24 Jan 2016","Joint Action Committee for Social Justice's response to the vice chancellor Prof. Apparao's statements to The Hindu on 24 Jan 2016","160124HCUDT0001","Joint Action Committee for Social Justice (University of Hyderabad)","Joint Action Committee for Social Justice (University of Hyderabad)","2016-01-24","HCU","HCU Student Movement","SM002","Student Movements","","Public Domain","Public Domain","Merian-Tagore International Centre of Advanced Studies","docx","Born Digital Text","160124HCUDT0001","http://campuscollection.openrun.net/samim/HCU/Students movements --- HCU Documents/HCU Scanned and Digitized documents/160124HCUDT0001.pdf","http://campuscollection.openrun.net/Thumbnails/160124HCUDT0001.pdf.jpg","English","pdf","docx","2016-01-24","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561296367,1561296367,"5d0f7def366236002c000127"
"Joint Action Committee for Social Justice posters on Facebook updates","Joint Action Committee for Social Justice posters on facebook updates","160125HCUDI0001","Joint Action Committee for Social Justice (University of Hyderabad)","Joint Action Committee for Social Justice (University of Hyderabad)","2016-01-25","HCU","HCU Student Movement","SM002","Student Movements","","Public Domain","Public Domain","Merian-Tagore International Centre of Advanced Studies","docx","Digital Image","160125HCUDI0001","http://campuscollection.openrun.net/samim/HCU/Students movements --- HCU Documents/HCU Scanned and Digitized documents/160125HCUDI0001.jpg","http://campuscollection.openrun.net/Thumbnails/thubmnail_160125HCUDI0001.jpg","English","jpg","docx","2016-01-25","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561296367,1561296367,"5d0f7def366236002c000024"
"Joint Action Committee for Social Justice posters on Rohith's facebook updates","Joint Action Committee for Social Justice posters on Rohith's facebook updates","160125HCUDI0002","Joint Action Committee for Social Justice (University of Hyderabad)","Joint Action Committee for Social Justice (University of Hyderabad)","2016-01-25","HCU","HCU Student Movement","SM002","Student Movements","","Public Domain","Public Domain","Merian-Tagore International Centre of Advanced Studies","docx","Digital Image","160125HCUDI0002","http://campuscollection.openrun.net/samim/HCU/Students movements --- HCU Documents/HCU Scanned and Digitized documents/160125HCUDI0002.jpg","http://campuscollection.openrun.net/Thumbnails/thubmnail_160125HCUDI0002.jpg","English","jpg","docx","2016-01-25","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561296367,1561296367,"5d0f7def366236002c000169"
"Joint Action Committee for Social Justice poster on Rohith's last facebook update","Joint Action Committee for Social Justice poster on Rohith's last facebook update","160125HCUDI0003","Joint Action Committee for Social Justice (University of Hyderabad)","Joint Action Committee for Social Justice (University of Hyderabad)","2016-01-25","HCU","HCU Student Movement","SM002","Student Movements","","Public Domain","Public Domain","Merian-Tagore International Centre of Advanced Studies","docx","Digital Image","160125HCUDI0003","http://campuscollection.openrun.net/samim/HCU/Students movements --- HCU Documents/HCU Scanned and Digitized documents/160125HCUDI0003.jpg","http://campuscollection.openrun.net/Thumbnails/thubmnail_160125HCUDI0003.jpg","English","jpg","docx","2016-01-25","5cbf1a2e643965001800017e","5cbf1a2e643965001800017e",1561296367,1561296367,"5d0f7def366236002c00032e"
